incident,pre_policy,post_policy,seed,elapsed_time,remaining_agents,episode_reward,error
B_connector,CCA,CJ3A,0,66.02,0,-0.5183650793650793,
B_connector,CCA,ACJ1,0,70.21000000000001,0,-0.5491825396825397,
B_connector,CCA,ACB,0,70.21000000000001,0,-0.5452142857142858,
B_connector,CCA,ACA,0,70.21000000000001,0,-0.5491825396825397,
B_connector,CCA,J3CA,0,70.44,0,-0.565936507936508,
B_connector,CCA,J3CB,0,70.72,0,-0.5674920634920635,
B_connector,CCA,CCA,0,71.12,0,-0.5621746031746032,
B_connector,CCA,CCB,0,71.12,0,-0.5613809523809524,
B_connector,CCA,CCJ2,0,73.39,0,-0.583515873015873,
B_connector,CCA,ACJ2,0,74.05,0,-0.5748809523809524,
B_connector,CCA,CCJ1,0,74.43,0,-0.5881031746031746,
B_connector,CCA,AJ1B,0,80.82000000000001,0,-0.6212222222222223,
B_connector,CCA,CJ3J1,0,81.12,0,-0.6324126984126984,
B_connector,CCA,AJ1J2,0,81.48,0,-0.6344126984126984,
B_connector,CCA,AJ3A,0,82.9,0,-0.6446825396825397,
B_connector,CCA,AJ1J1,0,83.88,0,-0.6481428571428571,
B_connector,CCA,J2J3A,0,84.53,0,-0.6588968253968254,
B_connector,CCA,AJ1A,0,85.4,0,-0.6581746031746032,
B_connector,CCA,CJ1A,0,86.71000000000001,0,-0.6690238095238096,
B_connector,CCA,CJ1B,0,86.71000000000001,0,-0.6682301587301588,
B_connector,CCA,CJ1J1,0,88.08,0,-0.6806031746031745,
B_connector,CCA,AJ3J1,0,88.7,0,-0.6812698412698412,
B_connector,CCA,CJ1J2,0,91.89,0,-0.7116904761904761,
B_connector,CCA,J3CJ2,0,93.89,0,-0.7370873015873016,
B_connector,CCA,AJ3B,0,96.87,0,-0.7151507936507936,
B_connector,CCA,CJ3B,0,96.87,0,-0.719515873015873,
B_connector,CCA,J2CB,0,163.86,0,-1.2484285714285714,
B_connector,CCA,J2CA,0,163.86,0,-1.2492222222222222,
B_connector,CCA,J2CJ1,0,173.27,0,-1.3395952380952378,
B_connector,CCA,J2CJ2,0,179.13,0,-1.3792936507936504,
B_connector,CCA,J3J1B,0,180.0,14,-1.3047619047619046,
B_connector,CCA,J2J3B,0,180.0,13,-1.3063492063492061,
B_connector,CCA,J3J1A,0,180.0,2,-1.2928571428571427,
B_connector,CCA,J3J3B,0,180.0,14,-1.3015873015873014,
B_connector,CCA,J3J3A,0,180.0,2,-1.3384920634920634,
C_exit,CCA,AJ3B,0,67.36,0,-0.5337460317460317,
C_exit,CCA,J3J3B,0,70.62,0,-0.5709047619047619,
C_exit,CCA,AJ1B,0,77.24,0,-0.6092698412698412,
C_exit,CCA,AJ3A,0,78.75,0,-0.6236111111111111,
C_exit,CCA,AJ1A,0,80.25,0,-0.6339285714285714,
C_exit,CCA,AJ1J1,0,80.60000000000001,0,-0.6374603174603175,
C_exit,CCA,AJ1J2,0,81.05,0,-0.6407539682539682,
C_exit,CCA,J2J3B,0,83.03,0,-0.6648492063492063,
C_exit,CCA,J2J3A,0,85.19,0,-0.6724841269841269,
C_exit,CCA,AJ3J1,0,85.44,0,-0.6695079365079365,
C_exit,CCA,CJ3B,0,93.64,0,-0.7245873015873016,
C_exit,CCA,CJ3A,0,93.64,0,-0.7218095238095238,
C_exit,CCA,J3J1B,0,94.4,0,-0.7395238095238096,
C_exit,CCA,ACB,0,113.61,0,-0.8533888888888889,
C_exit,CCA,ACJ1,0,113.61,0,-0.8569603174603174,
C_exit,CCA,ACA,0,113.61,0,-0.8569603174603174,
C_exit,CCA,J3CB,0,120.66,0,-0.9119999999999999,
C_exit,CCA,J3CA,0,120.66,0,-0.9199365079365078,
C_exit,CCA,ACJ2,0,123.69,0,-0.9308174603174602,
C_exit,CCA,J2CB,0,161.78,0,-1.2444126984126982,
C_exit,CCA,J2CA,0,161.78,0,-1.245206349206349,
C_exit,CCA,J3J1A,0,163.67000000000002,0,-1.2533253968253968,
C_exit,CCA,J2CJ1,0,166.57,0,-1.2940396825396825,
C_exit,CCA,CJ1B,0,180.0,57,-1.4940476190476186,
C_exit,CCA,CCJ1,0,180.0,62,-1.5246031746031745,
C_exit,CCA,CJ1A,0,180.0,57,-1.4948412698412694,
C_exit,CCA,CJ1J2,0,180.0,68,-1.5503968253968252,
C_exit,CCA,CJ3J1,0,180.0,69,-1.5555555555555554,
C_exit,CCA,CCA,0,180.0,79,-1.6011904761904758,
C_exit,CCA,CJ1J1,0,180.0,69,-1.5587301587301585,
C_exit,CCA,CCB,0,180.0,79,-1.600396825396825,
C_exit,CCA,CCJ2,0,180.0,78,-1.5992063492063489,
C_exit,CCA,J2CJ2,0,180.0,3,-1.403174603174603,
C_exit,CCA,J3J3A,0,180.0,2,-1.3075396825396823,
C_exit,CCA,J3CJ2,0,180.0,54,-1.4908730158730155,
