scenario,A,B,C,D,J1,J2,J3,status,evacuation_time,remaining_agents,cyclic,trapped_agents,trapped_rooms,cycles
A_extreme,49,17,17,17,A,J3,A,PASS,72.72,0,False,0,,
A_extreme,49,17,17,17,J2,J3,A,PASS,79.89,0,False,0,,
A_extreme,49,17,17,17,J3,C,B,PASS,86.56,0,False,0,,
A_extreme,49,17,17,17,J3,C,J2,PASS,95.8,0,False,0,,
A_extreme,49,17,17,17,J3,J3,B,PASS,99.76,0,False,0,,
A_extreme,49,17,17,17,J3,J1,B,PASS,103.16,0,False,0,,
A_extreme,49,17,17,17,J2,J3,B,PASS,107.52,0,False,0,,
A_extreme,49,17,17,17,J3,C,A,PASS,111.2,0,False,0,,
A_extreme,49,17,17,17,J2,C,A,PASS,156.5,0,False,0,,
A_extreme,49,17,17,17,J2,C,B,PASS,156.5,0,False,0,,
A_extreme,49,17,17,17,J2,C,J2,PASS,172.48,0,False,0,,
A_extreme,49,17,17,17,A,J1,J2,TIMEOUT,180.0,1,False,0,,
A_extreme,49,17,17,17,C,J1,J2,TIMEOUT,180.0,1,False,0,,
A_extreme,49,17,17,17,J3,J1,A,TIMEOUT,180.0,2,False,0,,
A_extreme,49,17,17,17,J3,J3,A,TIMEOUT,180.0,2,False,0,,
A_extreme,49,17,17,17,J2,C,J1,TIMEOUT,180.0,14,False,0,,
A_extreme,49,17,17,17,A,J3,J2,CYCLIC,,34,True,34,"B,C","(('J2', 'J3'),)"
A_extreme,49,17,17,17,C,J3,J2,CYCLIC,,34,True,34,"B,C","(('J2', 'J3'),)"
A_extreme,49,17,17,17,J2,J1,B,CYCLIC,,66,True,66,"A,C","(('J1', 'J2'),)"
A_extreme,49,17,17,17,J2,J1,A,CYCLIC,,66,True,66,"A,C","(('J1', 'J2'),)"
A_extreme,49,17,17,17,J3,C,J1,CYCLIC,,66,True,66,"A,B","(('J1', 'J3'),)"
A_extreme,49,17,17,17,J2,J1,J1,CYCLIC,,83,True,83,"A,B,C","(('J1', 'J2'),)"
A_extreme,49,17,17,17,J2,J1,J2,CYCLIC,,83,True,83,"A,B,C","(('J1', 'J2'),)"
A_extreme,49,17,17,17,J2,J3,J1,CYCLIC,,83,True,83,"A,B,C","(('J1', 'J2', 'J3'),)"
A_extreme,49,17,17,17,J2,J3,J2,CYCLIC,,83,True,83,"A,B,C","(('J2', 'J3'),)"
A_extreme,49,17,17,17,J3,J1,J1,CYCLIC,,83,True,83,"A,B,C","(('J1', 'J3'),)"
A_extreme,49,17,17,17,J3,J1,J2,CYCLIC,,83,True,83,"A,B,C","(('J1', 'J2', 'J3'),)"
A_extreme,49,17,17,17,J3,J3,J1,CYCLIC,,83,True,83,"A,B,C","(('J1', 'J3'),)"
A_extreme,49,17,17,17,J3,J3,J2,CYCLIC,,83,True,83,"A,B,C","(('J2', 'J3'),)"
B_extreme,19,42,20,19,C,C,A,PASS,45.71,0,False,0,,
B_extreme,19,42,20,19,C,J1,A,PASS,52.24,0,False,0,,
B_extreme,19,42,20,19,A,C,A,PASS,54.38,0,False,0,,
B_extreme,19,42,20,19,C,J3,A,PASS,57.61,0,False,0,,
B_extreme,19,42,20,19,C,C,J1,PASS,61.34,0,False,0,,
B_extreme,19,42,20,19,A,C,J1,PASS,61.56,0,False,0,,
B_extreme,19,42,20,19,C,J1,J1,PASS,65.95,0,False,0,,
B_extreme,19,42,20,19,A,J3,A,PASS,67.93,0,False,0,,
B_extreme,19,42,20,19,A,J1,A,PASS,68.45,0,False,0,,
B_extreme,19,42,20,19,C,J3,J1,PASS,69.23,0,False,0,,
B_extreme,19,42,20,19,J2,J3,A,PASS,72.51,0,False,0,,
B_extreme,19,42,20,19,A,C,J2,PASS,72.57000000000001,0,False,0,,
B_extreme,19,42,20,19,C,C,J2,PASS,72.59,0,False,0,,
B_extreme,19,42,20,19,A,J1,J1,PASS,72.73,0,False,0,,
B_extreme,19,42,20,19,J2,C,A,PASS,74.32000000000001,0,False,0,,
B_extreme,19,42,20,19,A,J3,J1,PASS,83.05,0,False,0,,
B_extreme,19,42,20,19,J3,C,J2,PASS,84.54,0,False,0,,
B_extreme,19,42,20,19,A,C,B,PASS,109.2,0,False,0,,
B_extreme,19,42,20,19,A,J1,B,PASS,109.2,0,False,0,,
B_extreme,19,42,20,19,C,C,B,PASS,109.2,0,False,0,,
B_extreme,19,42,20,19,C,J1,B,PASS,109.2,0,False,0,,
B_extreme,19,42,20,19,J2,C,B,PASS,109.2,0,False,0,,
B_extreme,19,42,20,19,J2,C,J2,PASS,132.0,0,False,0,,
B_extreme,19,42,20,19,J3,J1,A,PASS,134.79,0,False,0,,
B_extreme,19,42,20,19,A,J3,B,PASS,154.45000000000002,0,False,0,,
B_extreme,19,42,20,19,C,J3,B,PASS,154.45000000000002,0,False,0,,
B_extreme,19,42,20,19,J3,J1,B,PASS,159.6,0,False,0,,
B_extreme,19,42,20,19,J2,C,J1,PASS,166.39000000000001,0,False,0,,
B_extreme,19,42,20,19,J3,J3,B,PASS,172.77,0,False,0,,
B_extreme,19,42,20,19,J3,C,A,TIMEOUT,180.0,2,False,0,,
B_extreme,19,42,20,19,J3,J3,A,TIMEOUT,180.0,2,False,0,,
B_extreme,19,42,20,19,C,J1,J2,TIMEOUT,180.0,7,False,0,,
B_extreme,19,42,20,19,A,J1,J2,TIMEOUT,180.0,10,False,0,,
B_extreme,19,42,20,19,J2,J3,B,TIMEOUT,180.0,15,False,0,,
B_extreme,19,42,20,19,J3,C,B,TIMEOUT,180.0,29,False,0,,
B_extreme,19,42,20,19,J2,J1,B,CYCLIC,,39,True,39,"A,C","(('J1', 'J2'),)"
B_extreme,19,42,20,19,J2,J1,A,CYCLIC,,39,True,39,"A,C","(('J1', 'J2'),)"
B_extreme,19,42,20,19,J3,C,J1,CYCLIC,,61,True,61,"A,B","(('J1', 'J3'),)"
B_extreme,19,42,20,19,A,J3,J2,CYCLIC,,62,True,62,"B,C","(('J2', 'J3'),)"
B_extreme,19,42,20,19,C,J3,J2,CYCLIC,,62,True,62,"B,C","(('J2', 'J3'),)"
B_extreme,19,42,20,19,J2,J1,J1,CYCLIC,,81,True,81,"A,B,C","(('J1', 'J2'),)"
B_extreme,19,42,20,19,J2,J1,J2,CYCLIC,,81,True,81,"A,B,C","(('J1', 'J2'),)"
B_extreme,19,42,20,19,J2,J3,J1,CYCLIC,,81,True,81,"A,B,C","(('J1', 'J2', 'J3'),)"
B_extreme,19,42,20,19,J2,J3,J2,CYCLIC,,81,True,81,"A,B,C","(('J2', 'J3'),)"
B_extreme,19,42,20,19,J3,J1,J1,CYCLIC,,81,True,81,"A,B,C","(('J1', 'J3'),)"
B_extreme,19,42,20,19,J3,J1,J2,CYCLIC,,81,True,81,"A,B,C","(('J1', 'J2', 'J3'),)"
B_extreme,19,42,20,19,J3,J3,J1,CYCLIC,,81,True,81,"A,B,C","(('J1', 'J3'),)"
B_extreme,19,42,20,19,J3,J3,J2,CYCLIC,,81,True,81,"A,B,C","(('J2', 'J3'),)"
C_extreme,19,20,42,19,A,C,B,PASS,57.32,0,False,0,,
C_extreme,19,20,42,19,A,C,J1,PASS,57.32,0,False,0,,
C_extreme,19,20,42,19,A,C,A,PASS,57.32,0,False,0,,
C_extreme,19,20,42,19,C,C,B,PASS,57.96,0,False,0,,
C_extreme,19,20,42,19,C,C,A,PASS,57.96,0,False,0,,
C_extreme,19,20,42,19,C,J3,A,PASS,58.61,0,False,0,,
C_extreme,19,20,42,19,J3,C,A,PASS,59.620000000000005,0,False,0,,
C_extreme,19,20,42,19,C,C,J1,PASS,61.53,0,False,0,,
C_extreme,19,20,42,19,A,J1,B,PASS,65.02,0,False,0,,
C_extreme,19,20,42,19,A,J3,A,PASS,66.66,0,False,0,,
C_extreme,19,20,42,19,A,J1,A,PASS,68.89,0,False,0,,
C_extreme,19,20,42,19,A,C,J2,PASS,69.29,0,False,0,,
C_extreme,19,20,42,19,J2,J3,A,PASS,70.03,0,False,0,,
C_extreme,19,20,42,19,C,C,J2,PASS,72.68,0,False,0,,
C_extreme,19,20,42,19,C,J3,J1,PASS,73.54,0,False,0,,
C_extreme,19,20,42,19,A,J1,J1,PASS,74.36,0,False,0,,
C_extreme,19,20,42,19,C,J1,B,PASS,74.45,0,False,0,,
C_extreme,19,20,42,19,C,J1,A,PASS,74.45,0,False,0,,
C_extreme,19,20,42,19,J3,C,B,PASS,75.35000000000001,0,False,0,,
C_extreme,19,20,42,19,C,J1,J1,PASS,76.23,0,False,0,,
