incident,pre_policy,post_policy,seed,elapsed_time,remaining_agents,episode_reward,error
A_exit,CCA,AJ3B,0,67.36,0,-0.5396984126984127,
A_exit,CCA,CJ3B,0,67.36,0,-0.5293809523809524,
A_exit,CCA,ACJ1,0,69.83,0,-0.5645317460317459,
A_exit,CCA,ACB,0,69.83,0,-0.5581825396825396,
A_exit,CCA,ACA,0,69.83,0,-0.5641349206349205,
A_exit,CCA,J3CB,0,70.44,0,-0.5591904761904762,
A_exit,CCA,J3CA,0,71.11,0,-0.5744206349206349,
A_exit,CCA,CCB,0,71.12,0,-0.5621746031746032,
A_exit,CCA,CCA,0,71.12,0,-0.5645555555555556,
A_exit,CCA,ACJ2,0,71.94,0,-0.5774444444444444,
A_exit,CCA,J3J3B,0,73.13,0,-0.5796904761904762,
A_exit,CCA,CCJ1,0,74.46000000000001,0,-0.5874761904761905,
A_exit,CCA,CCJ2,0,75.03,0,-0.5934206349206349,
A_exit,CCA,CJ3J1,0,82.72,0,-0.6452698412698412,
A_exit,CCA,J2J3B,0,83.35000000000001,0,-0.6578968253968254,
A_exit,CCA,CJ1B,0,86.71000000000001,0,-0.6690238095238096,
A_exit,CCA,CJ1A,0,86.71000000000001,0,-0.671404761904762,
A_exit,CCA,CJ1J1,0,88.38,0,-0.6822698412698412,
A_exit,CCA,CJ3A,0,89.87,0,-0.6810238095238096,
A_exit,CCA,CJ1J2,0,91.56,0,-0.7102539682539682,
A_exit,CCA,J3CJ2,0,93.27,0,-0.7328492063492064,
A_exit,CCA,J3J1B,0,94.06,0,-0.732079365079365,
A_exit,CCA,J2J3A,0,119.72,0,-0.9166984126984126,
A_exit,CCA,AJ1B,0,121.22,0,-0.9202698412698411,
A_exit,CCA,AJ1J2,0,125.51,0,-0.9627539682539683,
A_exit,CCA,AJ3J1,0,128.31,0,-0.9779126984126983,
A_exit,CCA,AJ3A,0,131.65,0,-1.006388888888889,
A_exit,CCA,J3J1A,0,152.14000000000001,0,-1.1642698412698413,
A_exit,CCA,J2CB,0,163.86,0,-1.2492222222222222,
A_exit,CCA,J2CA,0,163.86,0,-1.2516031746031746,
A_exit,CCA,J2CJ2,0,175.69,0,-1.344706349206349,
A_exit,CCA,AJ1J1,0,180.0,33,-1.3670634920634919,
A_exit,CCA,AJ1A,0,180.0,59,-1.484126984126984,
A_exit,CCA,J3J3A,0,180.0,2,-1.2988095238095239,
A_exit,CCA,J2CJ1,0,180.0,15,-1.4289682539682536,
C_exit,CCA,AJ3B,0,67.36,0,-0.5337460317460317,
C_exit,CCA,J3J3B,0,70.62,0,-0.5709047619047619,
C_exit,CCA,AJ1B,0,77.24,0,-0.6092698412698412,
C_exit,CCA,AJ3A,0,78.75,0,-0.6236111111111111,
C_exit,CCA,AJ1A,0,80.25,0,-0.6339285714285714,
C_exit,CCA,AJ1J1,0,80.60000000000001,0,-0.6374603174603175,
C_exit,CCA,AJ1J2,0,81.05,0,-0.6407539682539682,
C_exit,CCA,J2J3B,0,83.03,0,-0.6648492063492063,
C_exit,CCA,J2J3A,0,85.19,0,-0.6724841269841269,
C_exit,CCA,AJ3J1,0,85.44,0,-0.6695079365079365,
C_exit,CCA,CJ3B,0,93.64,0,-0.7245873015873016,
C_exit,CCA,CJ3A,0,93.64,0,-0.7218095238095238,
C_exit,CCA,J3J1B,0,94.4,0,-0.7395238095238096,
C_exit,CCA,ACJ1,0,113.61,0,-0.8569603174603174,
C_exit,CCA,ACA,0,113.61,0,-0.8569603174603174,
C_exit,CCA,ACB,0,113.61,0,-0.8533888888888889,
C_exit,CCA,J3CA,0,120.66,0,-0.9199365079365078,
C_exit,CCA,J3CB,0,120.66,0,-0.9119999999999999,
C_exit,CCA,ACJ2,0,123.69,0,-0.9308174603174602,
C_exit,CCA,J2CB,0,161.78,0,-1.2444126984126982,
C_exit,CCA,J2CA,0,161.78,0,-1.245206349206349,
C_exit,CCA,J3J1A,0,163.67000000000002,0,-1.2533253968253968,
C_exit,CCA,J2CJ1,0,166.57,0,-1.2940396825396825,
C_exit,CCA,CJ3J1,0,180.0,69,-1.5555555555555554,
C_exit,CCA,CCJ2,0,180.0,78,-1.5992063492063489,
C_exit,CCA,CCJ1,0,180.0,62,-1.5246031746031745,
C_exit,CCA,CJ1J2,0,180.0,68,-1.5503968253968252,
C_exit,CCA,CJ1B,0,180.0,57,-1.4940476190476186,
C_exit,CCA,CCB,0,180.0,79,-1.600396825396825,
C_exit,CCA,CJ1A,0,180.0,57,-1.4948412698412694,
C_exit,CCA,CJ1J1,0,180.0,69,-1.5587301587301585,
C_exit,CCA,J2CJ2,0,180.0,3,-1.403174603174603,
