scenario,A,B,C,D,J1,J2,J3,status,evacuation_time,remaining_agents,cyclic,trapped_agents,trapped_rooms,cycles
balanced,25,25,25,25,A,C,A,PASS,45.29,0,False,0,,
balanced,25,25,25,25,C,C,A,PASS,47.18,0,False,0,,
balanced,25,25,25,25,A,C,J1,PASS,49.57,0,False,0,,
balanced,25,25,25,25,C,J3,A,PASS,49.6,0,False,0,,
balanced,25,25,25,25,C,C,J1,PASS,54.03,0,False,0,,
balanced,25,25,25,25,C,J1,A,PASS,59.2,0,False,0,,
balanced,25,25,25,25,A,C,J2,PASS,60.480000000000004,0,False,0,,
balanced,25,25,25,25,C,C,J2,PASS,61.83,0,False,0,,
balanced,25,25,25,25,A,J1,A,PASS,62.67,0,False,0,,
balanced,25,25,25,25,A,J3,A,PASS,63.26,0,False,0,,
balanced,25,25,25,25,C,J1,J1,PASS,64.11,0,False,0,,
balanced,25,25,25,25,J2,J3,A,PASS,66.0,0,False,0,,
balanced,25,25,25,25,C,J3,J1,PASS,66.04,0,False,0,,
balanced,25,25,25,25,A,C,B,PASS,67.53,0,False,0,,
balanced,25,25,25,25,A,J1,B,PASS,67.53,0,False,0,,
balanced,25,25,25,25,C,C,B,PASS,67.53,0,False,0,,
balanced,25,25,25,25,C,J1,B,PASS,67.53,0,False,0,,
balanced,25,25,25,25,A,J1,J1,PASS,69.51,0,False,0,,
balanced,25,25,25,25,A,J3,J1,PASS,71.77,0,False,0,,
balanced,25,25,25,25,J3,C,J2,PASS,77.78,0,False,0,,
balanced,25,25,25,25,J2,C,A,PASS,88.47,0,False,0,,
balanced,25,25,25,25,J2,C,B,PASS,88.47,0,False,0,,
balanced,25,25,25,25,A,J3,B,PASS,92.36,0,False,0,,
balanced,25,25,25,25,C,J3,B,PASS,92.36,0,False,0,,
balanced,25,25,25,25,J3,C,B,PASS,97.46000000000001,0,False,0,,
balanced,25,25,25,25,J3,J3,A,PASS,111.61,0,False,0,,
balanced,25,25,25,25,J2,J3,B,PASS,112.69,0,False,0,,
balanced,25,25,25,25,J3,J1,B,PASS,113.36,0,False,0,,
balanced,25,25,25,25,J3,J3,B,PASS,117.84,0,False,0,,
balanced,25,25,25,25,J2,C,J2,PASS,145.37,0,False,0,,
balanced,25,25,25,25,J2,C,J1,PASS,153.12,0,False,0,,
balanced,25,25,25,25,J3,C,A,TIMEOUT,180.0,2,False,0,,
balanced,25,25,25,25,J3,J1,A,TIMEOUT,180.0,2,False,0,,
balanced,25,25,25,25,A,J1,J2,TIMEOUT,180.0,3,False,0,,
balanced,25,25,25,25,C,J1,J2,TIMEOUT,180.0,7,False,0,,
balanced,25,25,25,25,A,J3,J2,CYCLIC,,50,True,50,"B,C","(('J2', 'J3'),)"
balanced,25,25,25,25,C,J3,J2,CYCLIC,,50,True,50,"B,C","(('J2', 'J3'),)"
balanced,25,25,25,25,J2,J1,B,CYCLIC,,50,True,50,"A,C","(('J1', 'J2'),)"
balanced,25,25,25,25,J2,J1,A,CYCLIC,,50,True,50,"A,C","(('J1', 'J2'),)"
balanced,25,25,25,25,J3,C,J1,CYCLIC,,50,True,50,"A,B","(('J1', 'J3'),)"
balanced,25,25,25,25,J2,J1,J1,CYCLIC,,75,True,75,"A,B,C","(('J1', 'J2'),)"
balanced,25,25,25,25,J2,J1,J2,CYCLIC,,75,True,75,"A,B,C","(('J1', 'J2'),)"
balanced,25,25,25,25,J2,J3,J1,CYCLIC,,75,True,75,"A,B,C","(('J1', 'J2', 'J3'),)"
balanced,25,25,25,25,J2,J3,J2,CYCLIC,,75,True,75,"A,B,C","(('J2', 'J3'),)"
balanced,25,25,25,25,J3,J1,J1,CYCLIC,,75,True,75,"A,B,C","(('J1', 'J3'),)"
balanced,25,25,25,25,J3,J1,J2,CYCLIC,,75,True,75,"A,B,C","(('J1', 'J2', 'J3'),)"
balanced,25,25,25,25,J3,J3,J1,CYCLIC,,75,True,75,"A,B,C","(('J1', 'J3'),)"
balanced,25,25,25,25,J3,J3,J2,CYCLIC,,75,True,75,"A,B,C","(('J2', 'J3'),)"
A_extreme,49,17,17,17,C,J3,A,PASS,49.81,0,False,0,,
A_extreme,49,17,17,17,A,C,B,PASS,49.97,0,False,0,,
A_extreme,49,17,17,17,A,C,J2,PASS,51.54,0,False,0,,
A_extreme,49,17,17,17,C,C,B,PASS,52.92,0,False,0,,
A_extreme,49,17,17,17,C,C,A,PASS,52.92,0,False,0,,
A_extreme,49,17,17,17,C,J1,B,PASS,55.370000000000005,0,False,0,,
A_extreme,49,17,17,17,C,J1,A,PASS,55.370000000000005,0,False,0,,
A_extreme,49,17,17,17,A,C,A,PASS,57.94,0,False,0,,
A_extreme,49,17,17,17,A,C,J1,PASS,58.63,0,False,0,,
A_extreme,49,17,17,17,C,J3,J1,PASS,59.07,0,False,0,,
A_extreme,49,17,17,17,C,C,J2,PASS,59.99,0,False,0,,
A_extreme,49,17,17,17,C,J1,J1,PASS,60.19,0,False,0,,
A_extreme,49,17,17,17,C,C,J1,PASS,60.300000000000004,0,False,0,,
A_extreme,49,17,17,17,A,J1,B,PASS,61.18,0,False,0,,
A_extreme,49,17,17,17,A,J3,B,PASS,63.83,0,False,0,,
A_extreme,49,17,17,17,C,J3,B,PASS,63.83,0,False,0,,
A_extreme,49,17,17,17,A,J1,A,PASS,67.21000000000001,0,False,0,,
A_extreme,49,17,17,17,A,J3,A,PASS,70.36,0,False,0,,
A_extreme,49,17,17,17,A,J1,J1,PASS,70.84,0,False,0,,
A_extreme,49,17,17,17,A,J3,J1,PASS,73.94,0,False,0,,
A_extreme,49,17,17,17,J2,J3,A,PASS,79.2,0,False,0,,
A_extreme,49,17,17,17,J3,C,B,PASS,85.92,0,False,0,,
A_extreme,49,17,17,17,J3,C,J2,PASS,91.66,0,False,0,,
A_extreme,49,17,17,17,J3,J1,B,PASS,97.49000000000001,0,False,0,,
A_extreme,49,17,17,17,J3,J3,B,PASS,99.97,0,False,0,,
A_extreme,49,17,17,17,J2,J3,B,PASS,104.15,0,False,0,,
A_extreme,49,17,17,17,J2,C,B,PASS,144.1,0,False,0,,
A_extreme,49,17,17,17,J2,C,A,PASS,144.1,0,False,0,,
